v8-version,5,1,281,111,0
code-creation,Stub,3,0x2b1e55a2be40,475,"FastNewContextStub"
code-creation,Handler,4,0x2b1e55a2c020,116,"An IC handler from the snapshot"
code-creation,Stub,15,0x2b1e55a2c0a0,332,"BinaryOpICStub"
code-creation,Stub,15,0x2b1e55a2c200,419,"BinaryOpICStub"
code-creation,Handler,4,0x2b1e55a2c3c0,120,"An IC handler from the snapshot"
code-creation,Stub,15,0x2b1e55a2c440,204,"BinaryOpICStub"
code-creation,Handler,4,0x2b1e55a2c520,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x2b1e55a2c5a0,116,"An IC handler from the snapshot"
code-creation,Stub,16,0x2b1e55a2c620,213,"CompareICStub"
code-creation,Handler,4,0x2b1e55a2c700,116,"An IC handler from the snapshot"
code-creation,Stub,3,0x2b1e55a2c780,379,"FastNewContextStub"
code-creation,Stub,15,0x2b1e55a2c900,151,"BinaryOpICStub"
code-creation,Stub,15,0x2b1e55a2c9a0,276,"BinaryOpICStub"
code-creation,Stub,3,0x2b1e55a2cac0,791,"FastNewClosureStub"
code-creation,Stub,16,0x2b1e55a2cde0,172,"CompareICStub"
code-creation,Handler,4,0x2b1e55a2cea0,120,"An IC handler from the snapshot"
code-creation,Stub,15,0x2b1e55a2cf20,240,"BinaryOpICStub"
code-creation,Stub,16,0x2b1e55a2d020,172,"CompareICStub"
code-creation,Stub,15,0x2b1e55a2d0e0,204,"BinaryOpICStub"
code-creation,CallIC,12,0x2b1e55a2d1c0,113,"A call IC from the snapshot"
code-creation,KeyedStoreIC,14,0x2b1e55a2d240,422,"A keyed store IC from the snapshot"
code-creation,KeyedStoreIC,14,0x2b1e55a2d400,3484,"A keyed store IC from the snapshot"
code-creation,Stub,3,0x2b1e55a2e1a0,156,"ToStringStub"
